step,S,V,omega,R,J,K,N,state
600,0.04925229780479376,0.00014036270615590496,0.011037471243264374,0.9108548643495306,0.12,0.07999999999999996,200,Static Sync
700,0.061334822143019746,0.00010605217330482815,0.006320346917926445,0.9487123230600529,0.12,0.07999999999999996,200,Static Sync
800,0.05924834416915273,8.381543354268429e-05,0.004101773381252971,0.9695376058993604,0.12,0.07999999999999996,200,Static Sync
900,0.05681541780857769,6.290429505571553e-05,0.0027533021341298535,0.9831007907913467,0.12,0.07999999999999996,200,Static Sync
1000,0.05341728172817661,5.111810669529551e-05,0.0013844017943861254,0.989471968316729,0.12,0.07999999999999996,200,Static Sync
1100,0.04990367266025169,4.267772295592864e-05,0.0007998291384807788,0.992923842692077,0.12,0.07999999999999996,200,Static Sync
1200,0.04681224500678326,3.6935846359756826e-05,0.0007934622748418718,0.9970058368570026,0.12,0.07999999999999996,200,Static Sync
1300,0.04389820092230057,2.8884823847865545e-05,0.000461324838771926,0.9993538472485863,0.12,0.07999999999999996,200,Static Sync
1400,0.042681767278457655,2.426356153783866e-05,0.00021663724665454964,0.9998982780957774,0.12,0.07999999999999996,200,Static Sync
1500,0.042211323581391416,2.113493223781249e-05,0.00010089948327054454,0.9999850243880374,0.12,0.07999999999999996,200,Static Sync
1600,0.04200978158631772,1.8248963067263486e-05,4.736541588949983e-05,0.9999977859324697,0.12,0.07999999999999996,200,Static Sync
1700,0.04192943017061605,1.5705528224715334e-05,2.2338751771822096e-05,0.9999996628331391,0.12,0.07999999999999996,200,Static Sync
1800,0.04191455881811127,1.4220071301095886e-05,1.0586293467507168e-05,0.9999999462006952,0.12,0.07999999999999996,200,Static Sync
1900,0.04193896603915631,1.3587934964613803e-05,5.048196817103446e-06,0.9999999909080106,0.12,0.07999999999999996,200,Static Sync
2000,0.041988062191621385,1.3170309034011854e-05,2.41150193160955e-06,0.9999999983673445,0.12,0.07999999999999996,200,Static Sync
2100,0.04205255044573221,1.2451329286360413e-05,1.1531445868628864e-06,0.9999999996896587,0.12,0.07999999999999996,200,Static Sync
2200,0.042126735997566465,1.1306047867275405e-05,5.519798723874203e-07,0.9999999999380911,0.12,0.07999999999999996,200,Static Sync
2300,0.04220715208127311,1.010669938543553e-05,2.643668647772657e-07,0.9999999999871743,0.12,0.07999999999999996,200,Static Sync
2400,0.042290399239271324,9.006812728764775e-06,1.2646189653242602e-07,0.9999999999972677,0.12,0.07999999999999996,200,Static Sync
2500,0.042371856629552784,8.04630021460164e-06,6.045407865418185e-08,0.9999999999994064,0.12,0.07999999999999996,200,Static Sync
2600,0.04244600157406894,7.175557638840558e-06,2.8875417834584027e-08,0.9999999999998693,0.12,0.07999999999999996,200,Static Sync
2700,0.04250835855100781,6.414229414493525e-06,1.3793619935142943e-08,0.9999999999999708,0.12,0.07999999999999996,200,Static Sync
2800,0.04255749112274901,5.802698633577807e-06,6.586601397629011e-09,0.9999999999999933,0.12,0.07999999999999996,200,Static Sync
2900,0.04259504153196199,5.346214820818342e-06,3.144499638452203e-09,0.9999999999999987,0.12,0.07999999999999996,200,Static Sync
3000,0.042624167865190674,5.060380152258166e-06,1.5005731546224866e-09,0.9999999999999998,0.12,0.07999999999999996,200,Static Sync
3100,0.042648088548245984,4.959477893630049e-06,7.157804349233743e-10,1.0000000000000002,0.12,0.07999999999999996,200,Static Sync
3200,0.04266947467984314,5.022540412876817e-06,3.41318528995771e-10,1.0,0.12,0.07999999999999996,200,Static Sync
3300,0.04269039182953498,5.217840423929251e-06,1.6273333791616552e-10,1.0,0.12,0.07999999999999996,200,Static Sync
3400,0.042712328021578407,5.468722116717634e-06,7.758098607979491e-11,1.0,0.12,0.07999999999999996,200,Static Sync
3500,0.042736078127497815,5.648884138823686e-06,3.698541473085015e-11,1.0,0.12,0.07999999999999996,200,Static Sync
3600,0.04276159362221733,5.641891072936723e-06,1.7631052173783245e-11,1.0000000000000002,0.12,0.07999999999999996,200,Static Sync
3700,0.04278811248795189,5.439838766414973e-06,8.404721363319823e-12,1.0,0.12,0.07999999999999996,200,Static Sync
3800,0.04281457200494921,5.121124174209473e-06,4.0060399442154445e-12,1.0000000000000002,0.12,0.07999999999999996,200,Static Sync
3900,0.042839950568241865,4.769437272268553e-06,1.909228330987389e-12,1.0,0.12,0.07999999999999996,200,Static Sync
4000,0.042863425087763155,4.432522421451853e-06,9.099387909827783e-13,1.0,0.12,0.07999999999999996,200,Static Sync
4100,0.04288445347317947,4.1291221553491495e-06,4.3376413572104866e-13,1.0,0.12,0.07999999999999996,200,Static Sync
4200,0.04290279419854506,3.867233150980952e-06,2.0654589150126413e-13,1.0,0.12,0.07999999999999996,200,Static Sync
4300,0.04291843941075401,3.6540770782987637e-06,9.843237336326638e-14,1.0,0.12,0.07999999999999996,200,Static Sync
4400,0.04293149786382156,3.4968565597048733e-06,4.671818487622659e-14,1.0,0.12,0.07999999999999996,200,Static Sync
4500,0.04294208417774682,3.4127776319612316e-06,2.227107387398064e-14,1.0,0.12,0.07999999999999996,200,Static Sync
4600,0.04295025131837608,3.4205643641234506e-06,1.0547118733938987e-14,1.0,0.12,0.07999999999999996,200,Static Sync
4700,0.042955993826404734,3.522698345196916e-06,4.75175454539567e-15,1.0,0.12,0.07999999999999996,200,Static Sync
4800,0.042959379204892026,3.7450760895652568e-06,1.8207657603852566e-15,1.0000000000000002,0.12,0.07999999999999996,200,Static Sync
4900,0.04296093651741128,4.109424830110073e-06,1.1102230246251565e-16,1.0,0.12,0.07999999999999996,200,Static Sync
5000,0.04296242314748392,4.536240020817448e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
5100,0.04296745738696286,4.808170793911131e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
5200,0.04297999934794691,4.720260205042131e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
5300,0.04300017194967236,4.357151890761872e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
5400,0.04302314700611538,3.926299468991732e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
5500,0.0430434947308815,3.550718328345742e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
5600,0.04305857522956213,3.2475374381477343e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
5700,0.04306832042989163,3.0109327732141837e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
5800,0.04307382185178312,2.8258777880486093e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
5900,0.04307635564697609,2.6765803555626598e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
6000,0.04307698355929775,2.5507282928844935e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
6100,0.04307647307489166,2.441581210885595e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
6200,0.043075341203897645,2.3426376967648544e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
6300,0.04307392674296379,2.2487337741103032e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
6400,0.04307245421816248,2.1587224503352197e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
6500,0.04307107937918809,2.0763221515858655e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
6600,0.0430699170402161,2.0052385323329664e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
6700,0.0430690558648599,1.943648917525232e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
6800,0.04306856515542503,1.8931980489115354e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
6900,0.04306849764899796,1.8558647202669156e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
7000,0.04306889084117838,1.831968446598302e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
7100,0.043069768089489285,1.81995450362196e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
7200,0.04307113992679475,1.8180479002044262e-06,0.0,1.0,0.12,0.07999999999999996,200,Static Sync
