step,S,V,omega,R,J,K,N,state
5200,0.906093018572068,0.0003983851177406464,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
5300,0.9254876622239957,0.0003268450149629924,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
5400,0.9397173224931972,0.0002862978953364535,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
5500,0.9474799699692672,0.00026527738065671943,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
5600,0.951990929919224,0.0002163128545563097,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
5700,0.9561663127613906,0.0002157983249873703,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
0,0.0620880848842469,0.016423348746171018,0.0,0.04850728688176819,0.08,0.0,200,Static Async
100,0.058549960107061094,0.00019491952190849816,0.0,0.04850728688176819,0.08,0.0,200,Static Async
200,0.062423069443491956,0.00014393154868221823,0.0,0.04850728688176819,0.08,0.0,200,Static Async
300,0.06527149975104368,0.0001254915191290552,0.0,0.04850728688176819,0.08,0.0,200,Static Async
400,0.068900669220014,0.00012643389268896942,0.0,0.04850728688176819,0.08,0.0,200,Static Async
500,0.07399144102588671,0.00014203697421687227,0.0,0.04850728688176819,0.08,0.0,200,Static Async
600,0.08205770516663533,0.00015548014702766716,0.0,0.04850728688176819,0.08,0.0,200,Static Async
700,0.09402930799778693,0.0001658327420447272,0.0,0.04850728688176819,0.08,0.0,200,Static Async
800,0.10187603620574555,0.00016559033300812264,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
900,0.11283267114684274,0.00021551939682816636,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
1000,0.12828693177906322,0.00023761512530288365,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
1100,0.1431864948426299,0.000248061171017832,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
1200,0.15720402962647986,0.00025228333933634983,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
1300,0.17223866994192885,0.000308995557313526,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
1400,0.19062330769933541,0.00033635664057113504,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
1500,0.20971036160435605,0.0003573384499232271,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
1600,0.2241465694893781,0.00038477431920594157,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
1700,0.23878527717325385,0.00038566092397301113,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
1800,0.2588900045785262,0.0004036552490994665,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
1900,0.27789342453823124,0.0003665677530257221,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
2000,0.29219394209927896,0.00038509080832117534,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
2100,0.3172436347529111,0.00039282052723063203,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
2200,0.3329652308797962,0.00036379136567998486,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
2300,0.3467360384175798,0.0003838198225836982,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
2400,0.36156155420636765,0.0003930005358478388,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
2500,0.39470166716693933,0.0003885458630655579,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
2600,0.40992403567244007,0.00035580903463782495,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
2700,0.4272708845943815,0.0003320371441568697,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
2800,0.44716644186555166,0.00032899394755688525,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
2900,0.4613049597780707,0.00034132369015463514,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
3000,0.4753397562615749,0.00035497599538869676,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
3100,0.4887655355861438,0.00033263749882629824,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
3200,0.5054827520589585,0.000317517269515307,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
3300,0.5177639649314246,0.00030662755438224667,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
3400,0.5290124040033429,0.00027513999650151405,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
3500,0.5386791961852053,0.00024974387144333,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
3600,0.5507357504584812,0.00027299192995841685,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
3700,0.565072846041999,0.0002382203782967436,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
3800,0.5791943556237348,0.0002946809207171585,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
3900,0.5987123183978705,0.00027036479477509317,0.0,0.04850728688176819,0.08,0.0,200,Static Phase Wave
